Codice,Descrizione,Fonte_AS400,Quantita_AS400,Quantita_WebApp,Differenza,Status,Magazzino_Web,Stato,Ubicazione,Note
94624,BATTERIA DENSO BHT,Magazzino_27_Grossisti,3,3,0,✅ ALLINEATO,grossisti,in_magazzino,2D,
94625,CARICABATTERIA 4 POSIZIONI DENSO,Magazzino_27_Grossisti,17,17,0,✅ ALLINEATO,grossisti,in_magazzino,2D,
94838,FIREWALL WATCHGUARD T15,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,11C,
94859,ETICHETTE 50X30 ROTOLO 1.500 PZ.,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,12A,TRASFERIMENTO DIRETTO - STAMPANTI SENZA RIBBON
94874,SERVER LENOVO ST550,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,"7A, 8A",
94881,SWITCH D-LINK DSG-1100-08,Magazzino_28_Deposito,15,15,0,✅ ALLINEATO,farmacia,"1, in_magazzino, spedito","11C, spedito",Benedetto Scorzè (no offerta)
94882,SWITCH D-LINK DSG-1100-24,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,11C,
94884,LETTORE BARCODE AXON CS2000BT,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,11D,
94906,MULTIMEDS - KIT DI PREPARAZIONE,Magazzino_28_Deposito,33,33,0,✅ ALLINEATO,farmacia,in_magazzino,6B,VENDIBILI SOLO 25
94908,MULTIMEDS - BLISTER (240 PZ.),Magazzino_28_Deposito,9,9,0,✅ ALLINEATO,farmacia,in_magazzino,"14D, 3B, 3C, 3D",
94909,MULTIMEDS - COPERTINA (240 PZ.),Magazzino_28_Deposito,9,9,0,✅ ALLINEATO,farmacia,in_magazzino,6B,
94911,ROT. TERMICO REG. CASSA (50 PZ.),Magazzino_28_Deposito,6,6,0,✅ ALLINEATO,farmacia,in_magazzino,10B,
94963,MINI TASTIERA ACK 595 USB,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
94964,MINI TASTIERA ACK RF420 WIRELESS,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
94966,FIREWALL ZYXEL USG 60W,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,baia_uscita,-,Rientrato da RHO 3 - guasto
94967,ROTOLO TERMICO POS (50 PZ.),Magazzino_28_Deposito,8,8,0,✅ ALLINEATO,farmacia,in_magazzino,10C,
94991,SERVER LENOVO ST250,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,"1, laboratorio","baia_uscita, in_preparazi",Guasto
94995,TASTIERA E MOUSE LENOVO WIRELESS,Magazzino_28_Deposito,16,16,0,✅ ALLINEATO,farmacia,"1, 5, altro, in_magazzino","-, 12B, baia_uscita, spedito",lorenzo | ufficio ex giorgia
95001,LETTORE BARCODE AXON CS3300 2D,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,11D,
95032,STAMPANTE CORTESIA EPSON TM-T88,Magazzino_28_Deposito,12,12,0,✅ ALLINEATO,farmacia,in_magazzino,12B,
95049,STAMPANTE TOSHIBA TEC B-FV4T,Magazzino_27_Grossisti,2,2,0,✅ ALLINEATO,grossisti,in_magazzino,11A,
95050,KIT STAMPA PER TOSHIBA B-FV4T,Magazzino_27_Grossisti,10,10,0,✅ ALLINEATO,grossisti,in_magazzino,12E,
95052,THIN CLIENT PRAIM E9154,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,11E,
95081,CASSETTO ITALRETAIL 33 NERO 6V,Magazzino_28_Deposito,12,12,0,✅ ALLINEATO,farmacia,in_magazzino,15d,
95097,KIT 12.000 LAVORAZIONI 70X23,Magazzino_27_Grossisti,20,20,0,✅ ALLINEATO,grossisti,in_magazzino,10E,
95136,ACCESS POINT PER ID.TAG,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,15A,
95140,PORTA ETICHETTA ID.TAG (25 PZ.),Magazzino_28_Deposito,46,46,0,✅ ALLINEATO,farmacia,in_magazzino,15B,da 8mm - nella stessa ubicazione presenti le clip
95151,FIREWALL WATCHGUARD T20,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,"1, altro, in_magazzino","-, 11C, 7D, spedito",*Cosmofarma | *TEST MATTEO server campospinoso | *rientrati
95167,PALMARE ZEBRA TC21,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,"altro, in_magazzino, in_utilizzo","-, 15A",luca | sala riunioni
95176,HID DIGITALPERSONA 4500,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95183,LETTORE HONEYWELL XENON 1952G,Magazzino_28_Deposito,24,24,0,✅ ALLINEATO,farmacia,in_magazzino,11D,
95195,THIN CLIENT PRAIM C9010,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,11E,
95196,TASTIERA LOGITECH K120,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95242,ALIMENTATORE TELEFONO YEALINK,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,11E,*dentro al 95578
95252,KIT EPSON TRASFORMAZIONE FP81II,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95254,PALO PROLUNGA DISPLAY EPSON FP,Magazzino_28_Deposito,5,5,0,✅ ALLINEATO,farmacia,in_magazzino,13D,
95257,TONER BROTHER TN-2120,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95258,TONER BROTHER TN-2210,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95268,LETTORE BARCODE AXON CS-2200 1D,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,11D,
95272,RAM KINGSTONE DDR4 8GB,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95273,RAM KINGSTONE DDR4 16GB,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95281,TONER KYOCERA TK-3160 NERO,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,9D,
95294,GRUPPO SPORTELLO NICE,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95305,LETTORE BARCODE AXON CS2600,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,7D,*solo per Cosmofarma
95378,LETTORE BARCODE AXON CS2600 LT,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,11D,
95409,THINKCENTRE LENOVO M70Q,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,"10B, 15A",ID TAG ( non prelevare per altro )
95412,PINZA ESTRAZIONE BATTERIA,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,15A,
95413,ETICHETTA ELETTRONICA ID.TAG,Magazzino_28_Deposito,1245,1245,0,✅ ALLINEATO,farmacia,"baia_uscita, in_magazzino","-, 15A",*Luparelli guaste da smaltire
95439,RAM KINGSTONE 4GB DDR3L,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95442,DISCO WESTERN DIGITAL 2TB,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95512,ALL IN ONE MSI PRO 24X,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,12D,
95547,NASTRO NERO INKANTO 110X300 AWR8,Magazzino_27_Grossisti,57,57,0,✅ ALLINEATO,grossisti,in_magazzino,12A,
95548,PC HP PRODESK 400 G6 DM,Magazzino_28_Deposito,6,6,0,✅ ALLINEATO,farmacia,in_magazzino,11E,
95578,TELEFONO YEALINK SIP-T42U,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,11E,"*vendere assieme al 0095242, si trova già dentro alla scatola"
95585,ROTOLO TERMICO CODALUX (50 PZ.),Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,10B,
95592,DISCO KINGSTONE 480GB SSD,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,9B,1 pz ha l'imballo riciclato
95601,ALL IN ONE DELL OPTIPLEX 5490,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,12D,
95608,SCHEDA NON FISCALE EPSON FP81II,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95609,SCHEDA NON FISCALE EPSON FP90III,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95625,TESTINA EPSON FP81II,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9C,
95632,BATTERIA ZEBRA TC26,Magazzino_27_Grossisti,23,23,0,✅ ALLINEATO,grossisti,in_magazzino,2B,
95634,CRADLE ZEBRA TC26,Magazzino_27_Grossisti,18,18,0,✅ ALLINEATO,grossisti,in_magazzino,13D,
95637,THINKCENTRE TINY IN ONE 22,Magazzino_28_Deposito,28,28,0,✅ ALLINEATO,farmacia,"1, in_magazzino","5A, 5E, 6E, 6d, 8D, 8E, 9F, spedito",
95638,THINKCENTRE TINY IN ONE 24,Magazzino_28_Deposito,39,39,0,✅ ALLINEATO,farmacia,"5, baia_uscita, in_magazzino","-, 14A, 14B, 14D, 14E, 4E, 6a, 7A, 7b, 7c, 8c, spedito",*Rotti | *rotto | *uso esclusivo per Cosmofarma
95641,TONER BROTHER TN423BK,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,12C,
95642,TONER BROTHER TN423C,Magazzino_28_Deposito,5,5,0,✅ ALLINEATO,farmacia,in_magazzino,9E,
95643,TONER BROTHER TN423M,Magazzino_28_Deposito,5,5,0,✅ ALLINEATO,farmacia,in_magazzino,9E,
95644,TONER BROTHER TN423Y,Magazzino_28_Deposito,6,6,0,✅ ALLINEATO,farmacia,in_magazzino,9E,
95645,DRUM BROTHER DR421CL,Magazzino_28_Deposito,6,6,0,✅ ALLINEATO,farmacia,in_magazzino,"12D, 9D",
95646,ACCESS POINT CISCO AIR-AP1815I,Magazzino_27_Grossisti,2,2,0,✅ ALLINEATO,grossisti,"altro, in_magazzino","-, 8B",test matteo
95649,TERMINALE ZEBRA WT6300,Magazzino_27_Grossisti,43,43,0,✅ ALLINEATO,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95650,BATTERIA ZEBRA WT6300,Magazzino_27_Grossisti,48,48,0,✅ ALLINEATO,grossisti,"baia_uscita, in_magazzino","-, 13B",*Nelly
95651,CARICABATTERIA 4 POSIZIONI ZEBRA,Magazzino_27_Grossisti,13,13,0,✅ ALLINEATO,grossisti,in_magazzino,13B,* + cavi + alimentatore
95652,BRACCIALE DA POLSO ZEBRA WT6300,Magazzino_27_Grossisti,42,42,0,✅ ALLINEATO,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95653,RING SCANNER ZEBRA RS5000,Magazzino_27_Grossisti,43,43,0,✅ ALLINEATO,grossisti,"baia_uscita, in_magazzino","-, 13A",*Nelly
95654,CRADLE ZEBRA WT6300,Magazzino_27_Grossisti,4,4,0,✅ ALLINEATO,grossisti,in_magazzino,13B,* + cavi + alimentatore
95663,RAM TRANSCEND DDR4 8GB,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95675,STAMPANTE BROTHER MFC-L8690CDW,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,1,spedito,
95676,TASTIERINO NUMERICO MANHATTAN,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95678,FLASH MEMORY MICRELEC SDCL10SP_T,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95680,STAMPANTE BROTHER HL-5100DN,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,10A,
95681,TONER BROTHER TN3480,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,12C,
95682,DRUM BROTHER DR3400,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,12C,
95689,ACCESS POINT ZYXEL NWA50AX,Magazzino_28_Deposito,6,6,0,✅ ALLINEATO,farmacia,in_magazzino,11C,
95711,FLASH MEMORY ITALRETAIL XMRT1015,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95726,TERMINALE OPTICON OPH-3001,Magazzino_28_Deposito,5,5,0,✅ ALLINEATO,farmacia,"in_magazzino, in_utilizzo","-, 12B",*test cristian
95745,TERMINALE PLUS 95 2D,Magazzino_27_Grossisti,43,43,0,✅ ALLINEATO,grossisti,in_magazzino,"1D, 5C",
95748,ALIMENTATORE LEVELONE POI-3014,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95749,TOTEM LETTORE PREZZI A PARETE,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,7A,
95757,ETICHETTE 20X10 ROTOLO 3000 PZ.,Magazzino_28_Deposito,68,68,0,✅ ALLINEATO,farmacia,in_magazzino,12A,
95770,CARRELLO MULTIMEDS 46 RIPIANI,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,altro,-,sottoscala
95774,CARICABATTERIE 4 POS. PLUS 95 2D,Magazzino_27_Grossisti,31,31,0,✅ ALLINEATO,grossisti,in_magazzino,"1A, 1C",
95776,NAS SYNOLOGY DS723,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,8B,
95778,GUSCIO TERMINALE PLUS 95 2D,Magazzino_27_Grossisti,72,72,0,✅ ALLINEATO,grossisti,in_magazzino,"1C, 1E, 1F",
95780,SCHEDA PULSE RADEON 550 64BIT,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95788,MULTIMEDS-COPERTINA BIANCA 240PZ,Magazzino_28_Deposito,12,12,0,✅ ALLINEATO,farmacia,in_magazzino,6B,
95792,VELCRO RING SCANNER ZEBRA RS5000,Magazzino_27_Grossisti,10,10,0,✅ ALLINEATO,grossisti,in_magazzino,13A,
95802,NOTEBOOK LENOVO V15 G4 IRU,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,1,baia_uscita,
95803,FIREWALL WATCHGUARD T25,Magazzino_28_Deposito,28,28,0,✅ ALLINEATO,farmacia,"1, in_magazzino","10D, spedito",
95829,MULTIMEDS-STAMPANTE HL-L8240CDW,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,4A,
95834,TONER BROTHER TN248BK,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,in_magazzino,12C,*per nuova stampante Multimeds
95871,DGFE PER EPSON FP81II E FP90III,Magazzino_28_Deposito,13,13,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95876,THINKCENTRE LENOVO TS-M70Q,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,"in_magazzino, laboratorio","-, 15C",*Test Cristian
95882,BATTERIA PER APC UPS SMC1500,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,in_magazzino,8B,
95932,MONITOR LENOVO T24I-30,Magazzino_28_Deposito,14,14,0,✅ ALLINEATO,farmacia,in_magazzino,"10F, 13E, 13F, 15E",
95944,MONITOR LENOVO T22I-30,Magazzino_28_Deposito,18,18,0,✅ ALLINEATO,farmacia,"1, in_magazzino, spedito","11F, 12F, 8D, spedito",Clementi
95947,PC LENOVO SLIM M92P,Magazzino_28_Deposito,3,3,0,✅ ALLINEATO,farmacia,in_magazzino,3C,*garanzia 12mesi - PROMO COSMOFARMA
95949,MONITOR LENOVO T24I-10,Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,farmacia,baia_uscita,-,*ex monitor Poce guasto - verificare
95950,BATTERIA PER ETICHETTA NOWA,Magazzino_28_Deposito,92,92,0,✅ ALLINEATO,farmacia,"baia_uscita, in_magazzino","-, 6B",*Luparelli guaste da smaltire | *batteria per etichette ID.TAG
95952,WORKSTATION LENOVO P3,Magazzino_28_Deposito,20,20,0,✅ ALLINEATO,farmacia,"in_magazzino, spedito","14a, 14b, 15c, 2a, 4a, 4b, 5A, 5B",*Valvo
95953,DISCO KINGSTON SSD DA 960GB,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
95973,ROTOLI ETICHETTE 40X24 DA 1000,Magazzino_28_Deposito,10,10,0,✅ ALLINEATO,farmacia,in_magazzino,10B,NO TRASFERIMENTO DIRETTO – STAMPANTI CON RIBBON
95974,ROTOLO ETICHETTE 40X30 DA 3.000,Magazzino_28_Deposito,20,20,0,✅ ALLINEATO,farmacia,in_magazzino,12A,TRASFERIMENTO DIRETTO - STAMPANTI SENZA RIBBON
95994,KIT GOMMINI BC4 BROTHER 8360,Magazzino_28_Deposito,5,5,0,✅ ALLINEATO,farmacia,in_magazzino,9B,*dentro ad un'unica busta
96046,PC LENOVO M70Q TINY REFURBISHED,Magazzino_28_Deposito,4,4,0,✅ ALLINEATO,farmacia,"in_magazzino, spedito",10C,Farmacia Milano (sostituzione PC guasto che deve rientrare)
96062,STAMPANTE EPSON WF-C5390DW,Magazzino_28_Deposito,2,2,0,✅ ALLINEATO,farmacia,"altro, in_magazzino","-, 7B",sala riunioni
96074,"TV HISENSE 55E63KT DA 55""",Magazzino_28_Deposito,1,1,0,✅ ALLINEATO,,laboratorio,farmacia,
96076,LETTORE SMART CARD MINILECTOR,Magazzino_28_Deposito,19,19,0,✅ ALLINEATO,farmacia,in_magazzino,9B,
96138,MONITOR LENOVO E24-30,Magazzino_28_Deposito,9,9,0,✅ ALLINEATO,farmacia,in_magazzino,5D,
96215,THINKCENTRE LENOVO TS-NEO50Q,Magazzino_28_Deposito,35,35,0,✅ ALLINEATO,farmacia,"1, in_magazzino","2E, 4D, in_utilizzo",
95987,BATTERIA POTENZIATA PER PLUS95,Magazzino_27_Grossisti,76,74,-2,🔴 AS400 +2,grossisti,in_magazzino,1B,
